dom|ns|ns_ttl|ns_ip|ns_ip_ttl|ns_ip_as|ns_ip_anycast|ns_ip_country|ns_ip_region
.|c.root-servers.net.|518400|192.33.4.12|3600000|AS2149 Cogent Communications|1|US|Washington, D.C.
.|c.root-servers.net.|518400|2001:500:2::c|3600000|AS2149 Cogent Communications|0|US|Washington, D.C.
.|e.root-servers.net.|518400|192.203.230.10|3600000|AS21556 NASA Ames Research Center|1|US|Ohio
.|e.root-servers.net.|518400|2001:500:a8::e|3600000|AS21556 NASA Ames Research Center|0|US|California
.|j.root-servers.net.|518400|192.58.128.30|3600000|AS26415 VeriSign Global Registry Services|1|US|Virginia
.|j.root-servers.net.|518400|2001:503:c27::2:30|3600000|AS22547 VeriSign Global Registry Services|0|US|Virginia
.|i.root-servers.net.|518400|192.36.148.17|3600000|AS29216 NETNOD Internet Exchange i Sverige AB|1|SE|Stockholm
.|i.root-servers.net.|518400|2001:7fe::53|3600000|AS29216 NETNOD Internet Exchange i Sverige AB|0|SE|Stockholm
.|h.root-servers.net.|518400|198.97.190.53|3600000|AS1508 Headquarters, USAISC|1|US|Arizona
.|h.root-servers.net.|518400|2001:500:1::53|3600000|AS1508 Headquarters, USAISC|0|US|Washington, D.C.
.|m.root-servers.net.|518400|202.12.27.33|3600000|AS7500 WIDE Project|1|JP|Tokyo
.|m.root-servers.net.|518400|2001:dc3::35|3600000|AS7500 WIDE Project|0|JP|Tokyo
.|f.root-servers.net.|518400|192.5.5.241|3600000|AS3557 Internet Systems Consortium, Inc.|1|US|New Hampshire
.|f.root-servers.net.|518400|2001:500:2f::f|3600000|AS3557 Internet Systems Consortium, Inc.|0|US|New Hampshire
.|k.root-servers.net.|518400|193.0.14.129|3600000|AS25152 Reseaux IP Europeens Network Coordination Centre (RIPE NCC)|1|NL|North Holland
.|k.root-servers.net.|518400|2001:7fd::1|3600000|AS25152 Reseaux IP Europeens Network Coordination Centre (RIPE NCC)|0|NL|North Holland
.|d.root-servers.net.|518400|199.7.91.13|3600000|AS10886 University of Maryland|1|US|Maryland
.|d.root-servers.net.|518400|2001:500:2d::d|3600000|AS10886 University of Maryland|0|US|Oregon
.|g.root-servers.net.|518400|192.112.36.4|3600000|AS5927 DoD Network Information Center|0|US|Ohio
.|g.root-servers.net.|518400|2001:500:12::d0d|3600000|AS5927 DoD Network Information Center|0|US|Ohio
.|b.root-servers.net.|518400|199.9.14.201|3600000|AS394353 B.Root-Server-OPS|1|US|California
.|b.root-servers.net.|518400|2001:500:200::b|3600000|AS394353 B.Root-Server-OPS|0|US|California
