dom|ns|ns_ttl|ns_ip|ns_ip_ttl|ns_ip_as|ns_ip_anycast|ns_ip_country|ns_ip_region
.|g.root-servers.net.|518400|192.112.36.4|3600000|AS5927 DoD Network Information Center|0|US|Ohio
.|g.root-servers.net.|518400|2001:500:12::d0d|3600000|AS5927 DoD Network Information Center|0|US|Ohio
.|a.root-servers.net.|518400|198.41.0.4|3600000|AS10515 VeriSign Infrastructure & Operations|1|US|Virginia
.|a.root-servers.net.|518400|2001:503:ba3e::2:30|3600000|AS10515 VeriSign Infrastructure & Operations|0|US|Virginia
.|h.root-servers.net.|518400|198.97.190.53|3600000|AS1508 Headquarters, USAISC|1|US|Arizona
.|h.root-servers.net.|518400|2001:500:1::53|3600000|AS1508 Headquarters, USAISC|0|US|Washington, D.C.
.|e.root-servers.net.|518400|192.203.230.10|3600000|AS21556 NASA Ames Research Center|1|US|Ohio
.|e.root-servers.net.|518400|2001:500:a8::e|3600000|AS21556 NASA Ames Research Center|0|US|California
.|b.root-servers.net.|518400|199.9.14.201|3600000|AS394353 B.Root-Server-OPS|1|US|California
.|b.root-servers.net.|518400|2001:500:200::b|3600000|AS394353 B.Root-Server-OPS|0|US|California
.|k.root-servers.net.|518400|193.0.14.129|3600000|AS25152 Reseaux IP Europeens Network Coordination Centre (RIPE NCC)|1|NL|North Holland
.|k.root-servers.net.|518400|2001:7fd::1|3600000|AS25152 Reseaux IP Europeens Network Coordination Centre (RIPE NCC)|0|NL|North Holland
.|d.root-servers.net.|518400|199.7.91.13|3600000|AS10886 University of Maryland|1|US|Maryland
.|d.root-servers.net.|518400|2001:500:2d::d|3600000|AS10886 University of Maryland|0|US|Oregon
.|m.root-servers.net.|518400|202.12.27.33|3600000|AS7500 WIDE Project|1|JP|Tokyo
.|m.root-servers.net.|518400|2001:dc3::35|3600000|AS7500 WIDE Project|0|JP|Tokyo
.|j.root-servers.net.|518400|192.58.128.30|3600000|AS26415 VeriSign Global Registry Services|1|US|Virginia
.|j.root-servers.net.|518400|2001:503:c27::2:30|3600000|AS22547 VeriSign Global Registry Services|0|US|Virginia
.|f.root-servers.net.|518400|192.5.5.241|3600000|AS3557 Internet Systems Consortium, Inc.|1|US|New Hampshire
.|f.root-servers.net.|518400|2001:500:2f::f|3600000|AS3557 Internet Systems Consortium, Inc.|0|US|New Hampshire
.|c.root-servers.net.|518400|192.33.4.12|3600000|AS2149 Cogent Communications|1|US|Washington, D.C.
.|c.root-servers.net.|518400|2001:500:2::c|3600000|AS2149 Cogent Communications|0|US|Washington, D.C.
.|i.root-servers.net.|518400|192.36.148.17|3600000|AS29216 NETNOD Internet Exchange i Sverige AB|1|SE|Stockholm
.|i.root-servers.net.|518400|2001:7fe::53|3600000|AS29216 NETNOD Internet Exchange i Sverige AB|0|SE|Stockholm
.|l.root-servers.net.|518400|199.7.83.42|3600000|AS20144 ICANN|1|US|California
.|l.root-servers.net.|518400|2001:500:9f::42|3600000|AS20144 ICANN|0|US|California
cn.|c.dns.cn.|172800|203.119.27.1|86400|AS24151 China Internet Network Infomation Center|1|CN|Beijing
cn.|g.dns.cn.|172800|66.198.183.65|86400|AS6453 TATA COMMUNICATIONS (AMERICA) INC|0|US|New York
cn.|f.dns.cn.|172800|195.219.8.90|86400|AS6453 TATA COMMUNICATIONS (AMERICA) INC|0|GB|England
cn.|e.dns.cn.|172800|203.119.29.1|86400|AS24406 China Internet Network Infomation Center|1|CN|Beijing
cn.|ns.cernet.net.|172800|103.137.60.44|172800|AS4538 China Education and Research Network Center|0|CN|Beijing
cn.|ns.cernet.net.|172800|2001:dd9::44|172800|AS24302 CRIS-CERNET|0|CN|Beijing
cn.|d.dns.cn.|172800|203.119.28.1|86400|AS24151 China Internet Network Infomation Center|1|CN|Beijing
cn.|d.dns.cn.|172800|2001:dc7:1000::1|86400|AS24151 China Internet Network Infomation Center|0|CN|Beijing
cn.|b.dns.cn.|172800|203.119.26.1|86400|AS24406 China Internet Network Infomation Center|1|CN|Beijing
cn.|a.dns.cn.|172800|203.119.25.1|86400|AS24151 China Internet Network Infomation Center|0|CN|Beijing
cn.|a.dns.cn.|172800|2001:dc7::1|86400|AS24151 China Internet Network Infomation Center|0|AU|Victoria
weibo.cn.|ns4.sina.com.cn.|86400|121.14.1.22|86400|AS58466 CHINANET Guangdong province network|0|CN|Guangdong
weibo.cn.|ns1.sina.com.cn.|86400|36.51.252.8|86400|AS4808 China Unicom Beijing Province Network|0|CN|Beijing
weibo.cn.|ns3.sina.com.cn.|86400|123.125.29.99|86400|AS4808 China Unicom Beijing Province Network|0|CN|Beijing
weibo.cn.|ns2.sina.com.cn.|86400|180.149.138.199|86400|AS23724 IDC, China Telecommunications Corporation|0|CN|Shaanxi
