qd|qt|dom|type|rr|rr_ttl|rr_ip|rr_ip_ttl|rr_ip_as|rr_ip_anycast|rr_ip_country|rr_ip_region
google.com.|MX|google.com.|MX|alt4.aspmx.l.google.com.|600|173.194.77.26|293|AS15169 Google LLC|0|US|California
google.com.|MX|google.com.|MX|alt4.aspmx.l.google.com.|600|2607:f8b0:4023:401::1a|293|AS15169 Google LLC|0|US|Tennessee
google.com.|MX|google.com.|MX|aspmx.l.google.com.|600|74.125.142.26|293|AS15169 Google LLC|0|US|California
google.com.|MX|google.com.|MX|aspmx.l.google.com.|600|2607:f8b0:400e:c09::1a|293|AS15169 Google LLC|0|US|Oregon
google.com.|MX|google.com.|MX|alt2.aspmx.l.google.com.|600|142.250.152.26|293|AS15169 Google LLC|0|US|Iowa
google.com.|MX|google.com.|MX|alt2.aspmx.l.google.com.|600|2607:f8b0:4001:c56::1b|293|AS15169 Google LLC|0|US|Iowa
google.com.|MX|google.com.|MX|alt3.aspmx.l.google.com.|600|172.253.113.26|293|AS15169 Google LLC|0|US|California
google.com.|MX|google.com.|MX|alt3.aspmx.l.google.com.|600|2607:f8b0:4023:1::1a|293|AS15169 Google LLC|0|US|Tennessee
google.com.|MX|google.com.|MX|alt1.aspmx.l.google.com.|600|64.233.171.27|293|AS15169 Google LLC|0|US|Oklahoma
google.com.|MX|google.com.|MX|alt1.aspmx.l.google.com.|600|2607:f8b0:4003:c15::1b|293|AS15169 Google LLC|0|US|Oklahoma
www.google.com.|A|www.google.com.|A|142.250.68.68|300|142.250.68.68|300|AS15169 Google LLC|0|US|California
www.google.com.|AAAA|www.google.com.|AAAA|2607:f8b0:4007:811::2004|300|2607:f8b0:4007:811::2004|300|AS15169 Google LLC|0|US|California
