dom|metric_class|metric|value
amazon.com.|domain_status|clientUpdate|0
amazon.com.|domain_status|serverUpdate|0
amazon.com.|domain_status|clientDelete|0
amazon.com.|domain_status|serverDelete|0
amazon.com.|domain_status|clientTransfer|0
amazon.com.|domain_status|serverTransfer|0
.|ns_diversity|ns_cnt|0
.|ns_diversity|ns_ip_cnt|0
.|ns_diversity|ns_ip_as_cnt|0
.|ns_diversity|ns_ip_country_cnt|0
.|ns_diversity|ns_ip_anycast_cnt|0
.|ttl_metric|ns_ttl|0
.|ttl_metric|ns_ip_ttl|0
com.|ns_diversity|ns_cnt|0
com.|ns_diversity|ns_ip_cnt|0
com.|ns_diversity|ns_ip_as_cnt|0
com.|ns_diversity|ns_ip_country_cnt|0
com.|ns_diversity|ns_ip_anycast_cnt|0
com.|ttl_metric|ns_ttl|0
com.|ttl_metric|ns_ip_ttl|0
amazon.com.|ns_diversity|ns_cnt|0
amazon.com.|ns_diversity|ns_ip_cnt|0
amazon.com.|ns_diversity|ns_ip_as_cnt|0
amazon.com.|ns_diversity|ns_ip_country_cnt|0
amazon.com.|ns_diversity|ns_ip_anycast_cnt|0
amazon.com.|ttl_metric|ns_ttl|0
amazon.com.|ttl_metric|ns_ip_ttl|0
47cf2c8c9-frontier.amazon.com.|ns_diversity|ns_cnt|0
47cf2c8c9-frontier.amazon.com.|ns_diversity|ns_ip_cnt|0
47cf2c8c9-frontier.amazon.com.|ns_diversity|ns_ip_as_cnt|1
47cf2c8c9-frontier.amazon.com.|ns_diversity|ns_ip_country_cnt|0
47cf2c8c9-frontier.amazon.com.|ns_diversity|ns_ip_anycast_cnt|0
47cf2c8c9-frontier.amazon.com.|ttl_metric|ns_ttl|1
47cf2c8c9-frontier.amazon.com.|ttl_metric|ns_ip_ttl|0
net.|ns_diversity|ns_cnt|0
net.|ns_diversity|ns_ip_cnt|0
net.|ns_diversity|ns_ip_as_cnt|0
net.|ns_diversity|ns_ip_country_cnt|0
net.|ns_diversity|ns_ip_anycast_cnt|0
net.|ttl_metric|ns_ttl|0
net.|ttl_metric|ns_ip_ttl|0
edgekey.net.|ns_diversity|ns_cnt|0
edgekey.net.|ns_diversity|ns_ip_cnt|0
edgekey.net.|ns_diversity|ns_ip_as_cnt|1
edgekey.net.|ns_diversity|ns_ip_country_cnt|0
edgekey.net.|ns_diversity|ns_ip_anycast_cnt|0
edgekey.net.|ttl_metric|ns_ttl|0
edgekey.net.|ttl_metric|ns_ip_ttl|0
akamaiedge.net.|ns_diversity|ns_cnt|0
akamaiedge.net.|ns_diversity|ns_ip_cnt|0
akamaiedge.net.|ns_diversity|ns_ip_as_cnt|1
akamaiedge.net.|ns_diversity|ns_ip_country_cnt|0
akamaiedge.net.|ns_diversity|ns_ip_anycast_cnt|0
akamaiedge.net.|ttl_metric|ns_ttl|0
akamaiedge.net.|ttl_metric|ns_ip_ttl|0
a.akamaiedge.net.|ns_diversity|ns_cnt|0
a.akamaiedge.net.|ns_diversity|ns_ip_cnt|0
a.akamaiedge.net.|ns_diversity|ns_ip_as_cnt|0
a.akamaiedge.net.|ns_diversity|ns_ip_country_cnt|0
a.akamaiedge.net.|ns_diversity|ns_ip_anycast_cnt|0
a.akamaiedge.net.|ttl_metric|ns_ttl|0
a.akamaiedge.net.|ttl_metric|ns_ip_ttl|0
cloudfront.net.|ns_diversity|ns_cnt|0
cloudfront.net.|ns_diversity|ns_ip_cnt|0
cloudfront.net.|ns_diversity|ns_ip_as_cnt|1
cloudfront.net.|ns_diversity|ns_ip_country_cnt|0
cloudfront.net.|ns_diversity|ns_ip_anycast_cnt|0
cloudfront.net.|ttl_metric|ns_ttl|0
cloudfront.net.|ttl_metric|ns_ip_ttl|0
d3ag4hukkh62yn.cloudfront.net.|ns_diversity|ns_cnt|0
d3ag4hukkh62yn.cloudfront.net.|ns_diversity|ns_ip_cnt|0
d3ag4hukkh62yn.cloudfront.net.|ns_diversity|ns_ip_as_cnt|1
d3ag4hukkh62yn.cloudfront.net.|ns_diversity|ns_ip_country_cnt|0
d3ag4hukkh62yn.cloudfront.net.|ns_diversity|ns_ip_anycast_cnt|0
d3ag4hukkh62yn.cloudfront.net.|ttl_metric|ns_ttl|1
d3ag4hukkh62yn.cloudfront.net.|ttl_metric|ns_ip_ttl|0
www.amazon.com.|ttl_metric|cname_ttl|0
www.amazon.com.|ttl_metric|ip_ttl|1
amazon.com.|ttl_metric|mx_ttl|1
amazon.com.|ttl_metric|mx_ip_ttl|1
