dom|metric_class|metric|value
google.com.|domain_status|clientUpdate|0
google.com.|domain_status|serverUpdate|0
google.com.|domain_status|clientDelete|0
google.com.|domain_status|serverDelete|0
google.com.|domain_status|clientTransfer|0
google.com.|domain_status|serverTransfer|0
.|ns_diversity|ns_cnt|0
.|ns_diversity|ns_ip_cnt|0
.|ns_diversity|ns_ip_as_cnt|0
.|ns_diversity|ns_ip_country_cnt|0
.|ns_diversity|ns_ip_anycast_cnt|0
.|ttl_metric|ns_ttl|0
.|ttl_metric|ns_ip_ttl|0
com.|ns_diversity|ns_cnt|0
com.|ns_diversity|ns_ip_cnt|0
com.|ns_diversity|ns_ip_as_cnt|0
com.|ns_diversity|ns_ip_country_cnt|0
com.|ns_diversity|ns_ip_anycast_cnt|0
com.|ttl_metric|ns_ttl|0
com.|ttl_metric|ns_ip_ttl|0
google.com.|ns_diversity|ns_cnt|0
google.com.|ns_diversity|ns_ip_cnt|0
google.com.|ns_diversity|ns_ip_as_cnt|1
google.com.|ns_diversity|ns_ip_country_cnt|0
google.com.|ns_diversity|ns_ip_anycast_cnt|0
google.com.|ttl_metric|ns_ttl|0
google.com.|ttl_metric|ns_ip_ttl|0
google.com.|ttl_metric|mx_ttl|1
google.com.|ttl_metric|mx_ip_ttl|1
www.google.com.|ttl_metric|ip_ttl|0
