dom|metric_class|metric|value
qq.com.|domain_status|clientUpdate|0
qq.com.|domain_status|serverUpdate|0
qq.com.|domain_status|clientDelete|0
qq.com.|domain_status|serverDelete|0
qq.com.|domain_status|clientTransfer|0
qq.com.|domain_status|serverTransfer|0
.|ns_diversity|ns_cnt|0
.|ns_diversity|ns_ip_cnt|0
.|ns_diversity|ns_ip_as_cnt|0
.|ns_diversity|ns_ip_country_cnt|0
.|ns_diversity|ns_ip_anycast_cnt|0
.|ttl_metric|ns_ttl|0
.|ttl_metric|ns_ip_ttl|0
com.|ns_diversity|ns_cnt|0
com.|ns_diversity|ns_ip_cnt|0
com.|ns_diversity|ns_ip_as_cnt|0
com.|ns_diversity|ns_ip_country_cnt|0
com.|ns_diversity|ns_ip_anycast_cnt|0
com.|ttl_metric|ns_ttl|0
com.|ttl_metric|ns_ip_ttl|0
qq.com.|ns_diversity|ns_cnt|0
qq.com.|ns_diversity|ns_ip_cnt|0
qq.com.|ns_diversity|ns_ip_as_cnt|0
qq.com.|ns_diversity|ns_ip_country_cnt|0
qq.com.|ns_diversity|ns_ip_anycast_cnt|0
qq.com.|ttl_metric|ns_ttl|0
qq.com.|ttl_metric|ns_ip_ttl|1
www.qq.com.|ns_diversity|ns_cnt|0
www.qq.com.|ns_diversity|ns_ip_cnt|0
www.qq.com.|ns_diversity|ns_ip_as_cnt|0
www.qq.com.|ns_diversity|ns_ip_country_cnt|0
www.qq.com.|ns_diversity|ns_ip_anycast_cnt|0
www.qq.com.|ttl_metric|ns_ttl|0
www.qq.com.|ttl_metric|ns_ip_ttl|0
net.|ns_diversity|ns_cnt|0
net.|ns_diversity|ns_ip_cnt|0
net.|ns_diversity|ns_ip_as_cnt|0
net.|ns_diversity|ns_ip_country_cnt|0
net.|ns_diversity|ns_ip_anycast_cnt|0
net.|ttl_metric|ns_ttl|0
net.|ttl_metric|ns_ip_ttl|0
edgekey.net.|ns_diversity|ns_cnt|0
edgekey.net.|ns_diversity|ns_ip_cnt|0
edgekey.net.|ns_diversity|ns_ip_as_cnt|1
edgekey.net.|ns_diversity|ns_ip_country_cnt|0
edgekey.net.|ns_diversity|ns_ip_anycast_cnt|0
edgekey.net.|ttl_metric|ns_ttl|0
edgekey.net.|ttl_metric|ns_ip_ttl|0
akamaiedge.net.|ns_diversity|ns_cnt|0
akamaiedge.net.|ns_diversity|ns_ip_cnt|0
akamaiedge.net.|ns_diversity|ns_ip_as_cnt|1
akamaiedge.net.|ns_diversity|ns_ip_country_cnt|0
akamaiedge.net.|ns_diversity|ns_ip_anycast_cnt|0
akamaiedge.net.|ttl_metric|ns_ttl|0
akamaiedge.net.|ttl_metric|ns_ip_ttl|0
dscf.akamaiedge.net.|ns_diversity|ns_cnt|0
dscf.akamaiedge.net.|ns_diversity|ns_ip_cnt|0
dscf.akamaiedge.net.|ns_diversity|ns_ip_as_cnt|0
dscf.akamaiedge.net.|ns_diversity|ns_ip_country_cnt|0
dscf.akamaiedge.net.|ns_diversity|ns_ip_anycast_cnt|0
dscf.akamaiedge.net.|ttl_metric|ns_ttl|0
dscf.akamaiedge.net.|ttl_metric|ns_ip_ttl|0
qq.com.|ttl_metric|mx_ttl|0
qq.com.|ttl_metric|mx_ip_ttl|0
www.qq.com.|ttl_metric|cname_ttl|0
www.qq.com.|ttl_metric|ip_ttl|1
