dom|metric_class|metric|value
weibo.cn.|domain_status|clientUpdate|0
weibo.cn.|domain_status|serverUpdate|0
weibo.cn.|domain_status|clientDelete|0
weibo.cn.|domain_status|serverDelete|0
weibo.cn.|domain_status|clientTransfer|0
weibo.cn.|domain_status|serverTransfer|0
.|ns_diversity|ns_cnt|0
.|ns_diversity|ns_ip_cnt|0
.|ns_diversity|ns_ip_as_cnt|0
.|ns_diversity|ns_ip_country_cnt|0
.|ns_diversity|ns_ip_anycast_cnt|0
.|ttl_metric|ns_ttl|0
.|ttl_metric|ns_ip_ttl|0
cn.|ns_diversity|ns_cnt|0
cn.|ns_diversity|ns_ip_cnt|0
cn.|ns_diversity|ns_ip_as_cnt|0
cn.|ns_diversity|ns_ip_country_cnt|0
cn.|ns_diversity|ns_ip_anycast_cnt|0
cn.|ttl_metric|ns_ttl|0
cn.|ttl_metric|ns_ip_ttl|0
weibo.cn.|ns_diversity|ns_cnt|0
weibo.cn.|ns_diversity|ns_ip_cnt|0
weibo.cn.|ns_diversity|ns_ip_as_cnt|0
weibo.cn.|ns_diversity|ns_ip_country_cnt|1
weibo.cn.|ns_diversity|ns_ip_anycast_cnt|1
weibo.cn.|ttl_metric|ns_ttl|0
weibo.cn.|ttl_metric|ns_ip_ttl|0
weibo.cn.|ttl_metric|mx_ttl|1
weibo.cn.|ttl_metric|mx_ip_ttl|1
www.weibo.cn.|ttl_metric|cname_ttl|0
www.weibo.cn.|ttl_metric|ip_ttl|0
